Keuwl Accelerometer Data File
2017-11-22 15-31-03

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000
492785.7500000,0.098298,0.289929,0.071845,0.314456,76.792755,71.271248
492786.4687500,-0.123612,0.317950,-0.161347,0.377366,115.312935,111.245026
492787.1250000,0.447992,0.454424,0.087747,0.644125,82.170433,45.408379
492787.8437500,-0.105060,0.512047,-0.137225,0.540426,104.709641,101.594803
492788.5937500,0.209258,0.355852,0.312742,0.517906,52.853275,59.542477
492789.2187500,0.190846,0.521009,0.032304,0.555802,86.668037,69.882179
492789.9687500,0.400056,0.486720,-0.064276,0.633303,95.825150,50.581806
492790.6562500,0.309959,0.317074,0.278919,0.523839,57.828659,45.650127
492791.3437500,0.452340,0.595051,-0.300778,0.805708,111.919868,52.759018
492791.6875000,0.113938,0.284626,0.468678,0.560047,33.190578,68.183479
492792.7500000,0.028206,0.530642,-0.256361,0.589998,115.754219,86.957344
492793.4687500,0.054499,0.497127,0.472042,0.687698,46.653561,83.743752
492794.1250000,-0.295678,0.724618,0.168012,0.800453,77.883713,112.197754
