Keuwl Accelerometer Data File
2017-11-22 11-23-54

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.8198061,-0.028236,-0.060449,0.967380,0.969678,3.945360,244.961945
0.8301054,-0.027319,-0.063405,0.969419,0.971874,4.073571,246.690323
0.8398026,-0.026300,-0.061468,0.968400,0.970705,3.949428,246.835815
0.8505938,-0.028236,-0.064424,0.965443,0.968002,4.167109,246.332581
0.8597921,-0.027319,-0.063405,0.969419,0.971874,4.073571,246.690323
0.8701019,-0.030173,-0.066361,0.970336,0.973071,4.296417,245.549408
0.8798000,-0.028236,-0.067278,0.967380,0.970128,4.313251,247.232361
0.8901185,-0.026300,-0.066361,0.970336,0.972958,4.207380,248.380920
0.9001627,-0.027319,-0.066361,0.968400,0.971055,4.238222,247.624298
0.9098529,-0.031193,-0.068298,0.967380,0.970290,4.438135,245.453049
0.9198208,-0.029256,-0.065341,0.963507,0.966163,4.249482,245.880127
0.9298085,-0.026300,-0.063405,0.962589,0.965034,4.078903,247.471771
0.9397995,-0.030173,-0.070234,0.969419,0.972428,4.508586,246.751251
0.9504440,-0.029256,-0.066361,0.968400,0.971111,4.282903,246.209229
0.9597934,-0.028236,-0.064424,0.971356,0.973899,4.141842,246.332581
0.9701098,-0.026300,-0.065341,0.968400,0.970958,4.160054,248.075409
0.9797999,-0.029256,-0.067278,0.966463,0.969243,4.340997,246.498260
0.9898568,-0.026300,-0.070234,0.965443,0.968352,4.441885,249.471298
0.9998171,-0.025382,-0.067278,0.967380,0.970049,4.251049,249.329880
1.0098734,-0.030173,-0.074108,0.963507,0.966823,4.747265,247.846176
1.0197963,-0.031193,-0.069215,0.966463,0.969440,4.491567,245.740692
1.0298083,-0.026300,-0.072171,0.966463,0.969510,4.544286,249.977921
1.0397930,-0.027319,-0.069215,0.970336,0.973185,4.385214,248.460953
1.0498716,-0.028236,-0.068298,0.964526,0.967353,4.381594,247.538193
1.0598714,-0.029256,-0.061468,0.965443,0.967840,4.033326,244.547714
1.0703495,-0.029256,-0.067278,0.965443,0.968227,4.345551,246.498260
1.0798107,-0.028236,-0.070234,0.964526,0.967492,4.487510,248.098297
1.0898284,-0.030173,-0.066361,0.966463,0.969208,4.313524,245.549408
1.0998180,-0.026300,-0.064424,0.969419,0.971913,4.105655,247.793350
1.1102717,-0.029256,-0.061468,0.966463,0.968857,4.029099,244.547714
1.1197976,-0.030173,-0.065341,0.964526,0.967207,4.267418,245.213516
1.1280862,-0.029256,-0.069215,0.968400,0.971311,4.437075,247.087173
1.1380862,-0.029256,-0.069215,0.968400,0.971311,4.437075,247.087173
1.1398100,-0.029256,-0.069215,0.968400,0.971311,4.437075,247.087173
1.1498141,-0.023344,-0.063405,0.963507,0.965873,4.011271,249.787949
1.1598443,-0.026300,-0.066361,0.965443,0.968079,4.228599,248.380920
1.1704069,-0.027319,-0.062385,0.971356,0.973740,4.010636,246.350983
1.1799639,-0.026300,-0.058512,0.970336,0.972455,3.782427,245.797165
1.1905934,-0.028236,-0.062385,0.973293,0.975698,4.024479,245.647812
1.1998556,-0.029256,-0.067278,0.969419,0.972191,4.327803,246.498260
1.2104954,-0.024363,-0.064424,0.971356,0.973795,4.055937,249.285156
1.2198222,-0.026300,-0.060449,0.970336,0.972573,3.886553,246.487305
1.2303616,-0.027319,-0.061468,0.969419,0.971750,3.969261,246.037506
1.2398078,-0.030173,-0.067278,0.969419,0.972219,4.349561,245.844482
1.2498282,-0.028236,-0.066361,0.971356,0.974029,4.246162,246.950287
1.2598337,-0.026300,-0.061468,0.962589,0.964908,3.973157,246.835815
1.2698320,-0.030173,-0.067278,0.964526,0.967340,4.371570,245.844482
1.2798313,-0.026300,-0.071254,0.966463,0.969443,4.493529,249.740967
1.2898107,-0.027319,-0.061468,0.971356,0.973682,3.961360,246.037506
1.2998334,-0.028236,-0.066361,0.964526,0.967218,4.276084,246.950287
1.3098297,-0.028236,-0.064424,0.972273,0.974814,4.137916,246.332581
1.3198295,-0.027319,-0.062385,0.967380,0.969775,4.027058,246.350983
1.3308874,-0.028236,-0.067278,0.964526,0.967282,4.326037,247.232361
1.3398418,-0.026300,-0.065341,0.967380,0.969941,4.164382,248.075409
1.3498522,-0.025382,-0.064424,0.968400,0.970872,4.089931,248.496185
1.3598261,-0.028236,-0.064424,0.966463,0.969019,4.162689,246.332581
1.3698776,-0.023344,-0.062385,0.969419,0.971705,3.930691,249.485001
1.3798279,-0.029256,-0.067278,0.967380,0.970158,4.336935,246.498260
1.3902038,-0.030173,-0.070234,0.966463,0.969481,4.522337,246.751251
